Price,Area,Locality,Year
4738500,1180 sqft,"SilverNestArcade,Narayanguda",2018-2019
8505000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
7290000,1280 sqft,Narayanguda,2018-2019
7290000,1490 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
4374000,1500 sqft,NewNallakunta,2018-2019
8019000,1278 sqft,"LodhaMeridian,KukatpallyHousingBoardColony,NH",2018-2019
8505000,1600 sqft,"BanjaraHills,NH",2018-2019
8505000,1545 sqft,"VajrasJasmineCounty,Gachibowli,OuterRingRoad",2018-2019
9720000,2430 sqft,"SMRVinayIconia,Kondapur",2018-2019
9817200,1834 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
4131000,1100 sqft,"KrishnaGiriEnclave,Secunderabad",2018-2019
11664000,1738 sqft,"PrestigeIvyLeague,HitechCity",2018-2019
11664000,2440 sqft,"JayabheriOrangeCounty,Gachibowli,OuterRingRoad",2018-2019
5346000,1490 sqft,"JanapriyaUtopiaII,Upparpally,HyderabadExpressway",2018-2019
9720000,2690 sqft,"SRISAIRAMTowers,Hafeezpet,NH",2018-2019
4374000,1000 sqft,ShivamRd,2018-2019
3888000,1000 sqft,"KukatpallyHousingBoardColony,NH",2018-2019
4860000,1100 sqft,Kondapur,2018-2019
10692000,1477 sqft,Hitech,2018-2019
1579500,1477 sqft,Vidyanagar,2018-2019
10935000,1800 sqft,"GolfView,Gachibowli,OuterRingRoad",2018-2019
9720000,2265 sqft,"RainbowVistasRockGardens,HitechCity",2018-2019
7290000,1477 sqft,Kondapur,2018-2019
4131000,1150 sqft,"GayatriHills,JubileeHills",2018-2019
6075000,1477 sqft,West,2018-2019
6075000,1260 sqft,"AyyappaSociety,Madhapur",2018-2019
6804000,1558 sqft,"InduFortuneFieldsapartments,HitechCity",2018-2019
4860000,1345 sqft,Kondapur,2018-2019
3645000,1380 sqft,Dammaiguda,2018-2019
